Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2026-06-08 17:47,2026-06-08 18:09,"Matrix Bicep Curl (Single Arm)",27,10,"",,,,Biceps,"Mix",
2026-06-08 17:47,2026-06-08 18:09,"Matrix Bicep Curl (Single Arm)",27,10,"",,,,Biceps,"Mix",
2026-06-02 16:54,2026-06-02 17:37,"Incline Dumbbell Curl",18,10,"",,,,Biceps,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Incline Dumbbell Curl",18,10,"",,,,Biceps,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Incline Dumbbell Curl",18,8,"",,,,Biceps,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Lat Pulldown",,,"",,,,Back,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Lat Pulldown",,,"",,,,Back,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Upper Back Row",,,"",,,,Back,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Upper Back Row",,,"",,,,Back,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Rear Delt Fly",,,"",,,,Back,"Pull 1",
2026-06-02 16:54,2026-06-02 17:37,"Rear Delt Fly",,,"",,,,Back,"Pull 1",
2026-06-01 16:40,2026-06-01 17:21,"Incline Dumbbell Press",38,10,"",,,,Chest,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Incline Dumbbell Press",34,12,"",,,,Chest,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Dumbbell Shoulder Press",32,6,"",,,,Shoulders,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Matrix Dip Machine",,,"",,,,Triceps,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Matrix Dip Machine",,,"",,,,Triceps,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Matrix Dip Machine",,,"",,,,Triceps,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Lat Pulldown",,,"",,,,Back,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Lat Pulldown",,,"",,,,Back,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Lat Pulldown",,,"",,,,Back,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Neutral Bar Row",,,"",,,,Back,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Neutral Bar Row",,,"",,,,Back,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Incline Cable Curls",,,"",,,,Biceps,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Incline Cable Curls",,,"",,,,Biceps,"Upper",
2026-06-01 16:40,2026-06-01 17:21,"Incline Cable Curls",,,"",,,,Biceps,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Incline Dumbbell Press",,,"",,,,Chest,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Incline Dumbbell Press",,,"",,,,Chest,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Incline Dumbbell Press",,,"",,,,Chest,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Matrix Incline Press",,,"",,,,Chest,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Matrix Incline Press",,,"",,,,Chest,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Matrix Incline Press",,,"",,,,Chest,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Matrix Dip Machine",,,"",,,,Triceps,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Matrix Dip Machine",,,"",,,,Triceps,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Matrix Dip Machine",,,"",,,,Triceps,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Lat Pulldown",,,"",,,,Back,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Lat Pulldown",,,"",,,,Back,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Lat Pulldown",,,"",,,,Back,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Neutral Bar Row",,,"",,,,Back,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Neutral Bar Row",,,"",,,,Back,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Incline Cable Curls",,,"",,,,Biceps,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Incline Cable Curls",,,"",,,,Biceps,"Upper",
2026-05-25 17:09,2026-05-25 18:27,"Incline Cable Curls",,,"",,,,Biceps,"Upper",
2026-05-22 16:50,2026-05-22 17:41,"Incline Dumbbell Press",38,9,"",,,,Chest,"Upper",
2026-05-22 16:50,2026-05-22 17:41,"Incline Dumbbell Press",34,13,"",,,,Chest,"Upper",
